id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
2,0,0,7,29,,,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,548,0,15,,1,0,16,6.3062749,256
3,0,0,12,27,8,8,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35,93,1,1,9,6.1758671,81
4,0,0,12,34,14,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,721,0,42,103,1,1,16,6.5806389,256
5,1,1,11,27,11,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,25,88,1,1,10,5.521461,100
6,1,1,12,34,8,7,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,729,0,34,108,1,0,16,6.5916739,256
7,1,1,12,26,9,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38,85,1,1,8,6.2146082,64
8,1,1,18,33,14,14,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,565,0,41,119,1,1,9,6.3368258,81
9,1,1,14,29,14,14,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,608,0,46,108,1,1,9,6.4101748,81
10,1,1,12,28,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32,96,4,0,10,6.0520892,100
11,1,1,12,29,12,12,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,515,0,34,97,1,1,11,6.2441669,121
12,1,1,9,28,11,12,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,225,0,29,84,1,0,13,5.416101,169
13,1,1,12,26,11,6,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,400,0,34,89,1,1,8,5.9914651,64
14,1,1,11,24,11,6,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,417,0,22,93,1,1,7,6.0330858,49
15,1,1,11,30,11,6,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,217,0,27,74,1,0,13,5.3798971,169
16,1,1,16,31,,8,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,894,0,43,116,1,1,9,6.7957058,81
17,1,1,14,24,15,12,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,36,,6,1,4,5.703783,16
19,1,1,12,34,12,8,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,346,0,40,93,1,1,16,5.8464389,256
20,1,1,14,29,,12,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,658,0,35,100,1,1,9,6.4892049,81
22,1,1,10,26,8,8,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,575,0,24,91,6,0,10,6.3543701,100
25,1,1,12,32,8,8,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,649,0,35,88,1,0,14,6.4754329,196
26,1,1,18,32,12,13,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,944,0,43,,1,1,8,6.8501258,64
29,1,1,18,34,,8,408301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,614,0,50,114,1,1,10,6.4199948,100
30,1,1,15,32,5,14,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,726,0,37,111,1,1,11,6.5875502,121
31,0,1,12,28,14,12,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,604,0,44,,1,1,10,6.403574,100
32,0,1,12,32,11,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,693,0,44,95,1,1,14,6.5410299,196
35,0,1,18,34,14,13,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1400,0,44,132,1,1,10,7.2442269,100
36,0,1,12,26,7,12,367772,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,300,0,27,,6,1,8,5.703783,64
37,0,1,18,32,16,16,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1800,0,38,109,5,1,8,7.495542,64
38,0,1,12,25,11,12,357519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,413,0,43,108,1,1,7,6.023448,49
39,0,1,14,29,,16,496635,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,45,102,1,1,9,6.4488888,81
47,1,1,12,25,12,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,208,0,30,106,1,1,7,5.3375378,49
48,1,1,12,25,,11,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,457,0,40,104,6,1,7,6.1246829,49
53,1,1,16,24,10,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,824,0,24,119,1,1,2,6.71417,4
54,1,1,18,34,,12,408301,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,47,122,1,1,10,6.357842,100
55,1,1,11,28,6,10,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,255,0,32,90,1,1,11,5.5412641,121
62,1,1,16,30,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,47,118,1,1,8,6.8690138,64
63,1,1,10,31,8,6,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,944,0,37,105,1,0,15,6.8501258,225
64,1,1,18,34,8,11,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1146,1,43,115,1,1,10,7.0440331,100
77,1,1,6,27,2,6,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324,0,16,,1,1,15,5.7807441,225
79,1,1,11,24,6,12,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,235,0,27,65,5,1,7,5.4595861,49
80,1,1,12,34,11,10,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,45,120,1,0,16,6.9077549,256
81,1,1,9,26,,12,422407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,31,86,4,1,11,6.1758671,121
82,1,1,15,32,10,12,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,624,0,39,109,1,1,11,6.436151,121
83,1,1,11,34,8,10,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,36,72,1,0,17,6.4769731,289
87,1,1,12,24,,10,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,344,0,31,,6,0,6,5.840641,36
90,1,1,16,24,12,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,380,0,,,6,0,2,5.9401708,4
91,1,1,12,24,12,11,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,353,0,25,101,1,1,6,5.866468,36
92,1,1,13,25,,12,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,659,0,29,105,6,1,6,6.4907241,36
93,1,1,17,28,10,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,621,1,48,136,1,1,5,6.4313312,25
97,1,1,12,25,10,11,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,440,0,40,101,1,1,7,6.0867748,49
98,1,1,12,26,12,10,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,738,0,34,96,6,1,8,6.6039438,64
102,1,1,11,31,5,5,158413,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,280,0,36,,1,0,14,5.634789,196
107,1,1,10,24,5,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,434,0,34,,1,1,8,6.0730438,64
108,1,1,12,27,,8,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,34,101,1,1,9,6.558198,81
110,1,1,12,27,10,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32,91,1,1,9,6.0520892,81
111,1,1,12,24,,4,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,571,0,35,,1,1,6,6.3473892,36
112,1,1,16,30,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,52,115,6,1,8,6.287858,64
115,1,1,16,32,12,12,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,740,0,49,113,1,1,10,6.6066499,100
116,1,1,13,32,10,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,673,1,43,123,1,1,13,6.511745,169
119,1,1,12,34,10,10,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36,95,1,1,16,6.6450911,256
121,1,1,12,24,10,10,90339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,592,0,26,102,1,1,6,6.3835068,36
125,1,1,9,24,12,11,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,213,0,15,,6,1,9,5.3612919,81
127,1,1,16,34,12,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1563,0,50,145,1,1,12,7.354362,144
129,1,1,16,28,11,11,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,774,0,35,114,1,1,6,6.6515722,36
131,1,1,12,26,8,9,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,600,0,35,113,1,0,8,6.3969302,64
133,1,1,18,24,16,16,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,24,,6,1,0,6.5410299,0
135,1,1,13,31,8,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,40,93,5,1,12,6.3456359,144
136,1,1,14,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,433,0,38,,5,1,8,6.0707378,64
137,1,1,15,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,37,119,2,0,7,6.287858,49
138,1,1,12,25,12,9,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,627,0,35,108,6,1,7,6.4409471,49
139,1,1,8,31,12,11,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35,,1,1,17,6.1758671,289
141,1,1,12,26,6,11,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,545,0,26,72,1,1,8,6.300786,64
142,1,1,12,25,12,9,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,576,0,34,86,1,1,7,6.3561082,49
144,1,1,16,25,14,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,700,0,42,123,1,1,3,6.5510802,9
147,1,1,16,28,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,788,0,38,103,1,1,6,6.669498,36
148,1,1,17,27,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1012,0,42,101,1,1,4,6.9196839,16
149,1,1,12,24,12,10,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,758,0,30,,1,1,6,6.6306829,36
150,1,1,14,29,12,16,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,601,1,41,105,6,1,9,6.3985949,81
151,1,1,12,24,,12,357519,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,283,0,34,,6,1,6,5.6454468,36
154,1,1,12,24,12,12,397244,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,29,,6,1,6,5.521461,36
156,1,1,12,26,10,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33,95,1,1,8,6.2146082,64
157,1,1,11,31,8,6,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,550,0,41,98,1,1,14,6.3099179,196
158,1,1,12,25,8,6,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1143,0,27,,1,1,7,7.0414119,49
159,1,1,18,31,8,8,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,810,0,39,115,4,0,7,6.6970339,49
164,1,1,12,28,,9,104596,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,313,0,20,60,6,1,10,5.7462029,100
166,1,1,18,25,,4,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,731,0,36,135,1,1,1,6.5944128,1
168,1,1,16,25,9,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,1,35,132,1,1,3,6.4377518,9
169,1,1,14,24,16,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,588,1,33,106,1,1,4,6.3767271,16
