ID;Ex. 1;Ex. 2;Ex.3  ;Total;rank
7283510;17;17;20;54;1
7280452;18;20;15,5;53,5;2
7282469;18;15;20;53;3
7287493;18;19;14,5;51,5;4
7296952;16;16;19;51;5
7280762;18;18;10;46;6
7282779;13;16,5;15;44,5;7
6054199;15;14,5;15;44,5;7
7288979;10;19,5;14,5;44;9
7289190;18;11,5;14,5;44;9
7280689;16;12,5;15;43,5;11
7306954;18;12,5;12,5;43;12
6569202;13;14;15;42;13
7281842;7;16,5;15;38,5;14
6020848;20;8;9;37;15
7288573;17;8;11;36;16
6904281;7;13;15;35;17
7291791;7;13;14;34;18
6268273;10;6,5;15,5;32;19
7280845;14;10,5;6;30,5;20
7280663;3;18;9;30;21
7289794;3;13;14;30;21
7291999;5;15;8;28;23
7280650;8;2,5;17;27,5;24
6071415;4;3;17;24;25
17176;7;1,5;15;23,5;26
6571216;5;7;10;22;27
7289215;5;6,5;9;20,5;28
7287761;8;5;7;20;29
7018823;5;0;13;18;30
7279254;2;0;16;18;30
6407735;3;6;7;16;32
6129152;0;3;12;15;33
7282159;1;0;14;15;33
7280861;0;0;12;12;35
7281644;1;0;0;1;36
